TIME,France,Germany,Italy,Japan,UK,USA,Canada
2000,76.50024,118.4232,53.0039,116.6432,112.5289,104.7283,117.5943
2001,78.59366,114.7619,55.15214,119.7874,119.4849,108.3911,118.2161
2002,81.03689,116.0388,58.04044,119.0439,131.3563,113.6551,122.1976
2003,85.13754,114.5731,61.27182,118.5159,144.6014,121.6879,127.6576
2004,86.87676,112.8574,65.03957,116.5005,154.7808,128.5112,133.6578
2005,92.30894,110.7233,70.17577,116.0812,160.3113,136.5634,142.4824
2006,97.27893,108.1574,75.09468,112.9059,171.8824,141.7992,146.6767
2007,101.0741,105.1233,79.25967,110.0852,174.0751,144.6868,155.8744
2008,102.7998,101.8345,80.81122,108.9272,172.8033,137.4689,160.3704
2009,109.3832,102.595,85.69257,109.3865,168.0606,136.5752,168.8058
2010,112.8121,100.595,89.52713,107.7039,163.7279,129.1252,170.5836
2011,113.4587,98.38264,89.0216,108.2775,162.5639,122.1526,173.9184
2012,108.2649,97.21162,91.06387,108.2862,158.4633,115.4544,174.3384
2013,110.3357,96.55453,89.54887,110.081,153.8056,117.2612,174.0211
2014,111.1832,95.58609,88.52353,111.3989,153.6355,112.4498,176.1727
2015,115.4928,95.01842,87.4938,112.1473,148.2817,109.5099,178.2026
2016,115.8367,94.53343,87.2366,113.5613,151.8314,109.5024,186.5838
2017,119.7405,94.67052,86.70167,115.163,152.2804,108.5133,186.3831
2018,119.5684,93.24641,86.56284,116.6213,149.4892,105.9165,187.3633
2019,119.9581,95.66115,88.00363,116.6151,145.8764,105.2988,185.9558
2020,123.3087,98.6255,90.50755,115.3671,151.0333,101.0825,177.2845
